交互检查规则,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,
分类,基础信息,,,,,,,,,,,,,,,,,
表头,编号,是否是最后一主线任务,引导ID,背景ID,背景音ID,男前置任务编号,男后续任务编号,男任务名称,男任务描述,男任务ID,男NPC对话组ID,女前置任务编号,女后续任务编号,女任务名称,女任务描述,女任务ID,女NPC对话组ID,
关键字标识,Y,,,,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,Y,,,,,,Y,,
非空标识,Y,,,,,,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,,,,
变量名称,id,end,guideId,bjId,bjVoiceid,mPrevid,mNextid,mName,mDescribe,mMissionid,mTalkid,fPrevid,fNextid,fName,fDescribe,fMissionid,fTalkid,
变量类型,I,B,I,I,I,I,I,S,S,I,E,I,I,S,S,I,E,
变量空间,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,cs,
,,,,,,,,,,,,,,,,,,
BEGIN,主线任务表,zhuxianrenwu_data,,,,,,,,,,,,,,,,
采花,10000,,700,,,0,10001,采花,传太后娘娘懿旨，凡新选入宫的秀女即日起需在宫中同御膳房嬷嬷一同前去采集玫瑰花，为后宫娘娘酿制灵犀露。【请小主前去采摘玫瑰】,40000,,0,10001,采花,传太后娘娘懿旨，凡新选入宫的秀女即日起需在宫中同御膳房嬷嬷一同前去采集玫瑰花，为后宫娘娘酿制灵犀露。【请小主前去采摘玫瑰】,40000,,
种花,10001,,701,,,10000,10002,种花,近日小主们采摘玫瑰花频繁，导致玫瑰花数量不足，小主需尝试种植玫瑰花，以便日后采摘。【请小主前去种植玫瑰花】,40001,,10000,10002,种花,近日小主们采摘玫瑰花频繁，导致玫瑰花数量不足，小主需尝试种植玫瑰花，以便日后采摘。【请小主前去种植玫瑰花】,40001,,
建尚衣局,10002,,702,,,10001,10003,建尚衣局,老奴还请各位小主留心，不日皇上便会亲临储秀宫，秀女们可前去尚衣局选挑新衣前去面圣。【请小主前去建造尚衣局】,40002,,10001,10003,建尚衣局,老奴还请各位小主留心，不日皇上便会亲临储秀宫，秀女们可前去尚衣局选挑新衣前去面圣。【请小主前去建造尚衣局】,40002,,
换装,10003,,703,,,10002,10004,换装,【小主向公公打赏一枚玉镯，公公喜上眉梢】由于小主赏赐了奴才，奴才便要告知小主一个秘密，娴妃娘娘告知老奴，皇上最喜小主们穿绿色，娴妃娘娘也给小主准备好了，小主可要记住了。【穿戴翠色菖蒲纹杭绸直裰】,40004,,10002,10004,换装,【小主向公公打赏一枚玉镯，公公喜上眉梢】由于小主赏赐了奴才，奴才便要告知小主一个秘密，娴妃娘娘告知老奴，皇上最喜小主们穿绿色，娴妃娘娘也给小主准备好了，小主可要记住了。【穿戴珍珠璎珞轻罗百合裙】,40003,,
建太和殿,10004,,704,,,10003,10005,建太和殿,皇上有旨，命储秀宫所有秀女梳洗后前去太和殿面圣。【请小主建造太和殿】,40005,,10003,10005,建太和殿,皇上有旨，命储秀宫所有秀女梳洗后前去太和殿面圣。【请小主建造太和殿】,40005,,
面圣,10005,,705,,,10004,10006,面圣,那就请小主跟随老奴前去太和殿面圣吧。【请小主点击太和殿之后点击面圣】,40006,,10004,10006,面圣,那就请小主跟随老奴前去太和殿面圣吧。【请小主点击太和殿之后点击面圣】,40006,,
剧情战斗（打第一关）,10006,,706,,,10005,10007,剧情战斗（打第一关）,小主可是想知晓关于娴妃娘娘的故事以便报答娴妃娘娘的恩情，那老奴悄悄告知小主，您可以前去剧情剧情查看娴妃娘娘从入宫前到入宫后的剧情。【请小主打通剧情第一章第一关卡】,40007,,10005,10007,剧情战斗（打第一关）,小主可是想知晓关于娴妃娘娘的故事以便报答娴妃娘娘的恩情，那老奴悄悄告知小主，您可以前去剧情剧情查看娴妃娘娘从入宫前到入宫后的剧情。【请小主打通剧情第一章第一关卡】,40007,,
