交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,等级,升级所需经验,仆从升级经验,对应上阵人数,升级奖励银两,升级奖励道具,道具数量,,,,,,,,
关键字标识,Y,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,
非空标识,Y,Y,,,,,,,,,,,,,
检查规则,,,,,,"#eref(物品总表,id)",,,,,,,,,
变量名称,lv,upExp,upServantExp,upCz,rewardMoney,item,num,,,,,,,,
变量类型,I,I,I,I,I,E,E,,,,,,,,
变量空间,cs,cs,cs,cs,cs,s,s,,,,,,,,
,,,,,,,,,,,,,,,
BEGIN,主角升级表,exp_lv_data,,,,,,,,,,,,,
,1,400,400,3,,,,,,,,,,,
,2,500,500,3,,,,,,,,,,,
,3,500,500,3,,,,,,,,,,,
,4,600,600,3,,,,,,,,,,,
,5,800,800,3,,,,,,,,,,,
,6,900,900,3,,,,,,,,,,,
,7,1200,1200,3,,,,,,,,,,,
,8,1400,1400,3,,,,,,,,,,,
,9,1700,1700,3,,,,,,,,,,,
,10,2000,2000,3,,,,,,,,,,,
,11,2400,2400,3,,,,,,,,,,,
,12,2800,2800,3,,,,,,,,,,,
,13,3300,3300,3,,,,,,,,,,,
,14,3800,3800,3,,,,,,,,,,,
,15,4300,4300,3,,,,,,,,,,,
,16,4900,4900,4,,,,,,,,,,,
,17,5400,5400,4,,,,,,,,,,,
,18,6100,6100,4,,,,,,,,,,,
,19,6800,6800,4,,,,,,,,,,,
,20,7500,7500,4,,,,,,,,,,,
,21,8300,8300,4,,,,,,,,,,,
,22,9100,9100,4,,,,,,,,,,,
,23,10000,10000,4,,,,,,,,,,,
,24,10800,10800,4,,,,,,,,,,,
,25,11700,11700,4,,,,,,,,,,,
,26,12700,12700,4,,,,,,,,,,,
,27,13700,13700,4,,,,,,,,,,,
,28,14800,14800,4,,,,,,,,,,,
,29,15900,15900,4,,,,,,,,,,,
,30,17000,17000,4,,,,,,,,,,,
,31,18100,18100,4,,,,,,,,,,,
,32,19300,19300,4,,,,,,,,,,,
,33,20500,20500,4,,,,,,,,,,,
,34,21800,21800,4,,,,,,,,,,,
,35,23200,23200,4,,,,,,,,,,,
,36,24500,24500,4,,,,,,,,,,,
,37,25900,25900,5,,,,,,,,,,,
,38,27300,27300,5,,,,,,,,,,,
,39,28800,28800,5,,,,,,,,,,,
,40,30300,30300,5,,,,,,,,,,,
,41,31800,31800,5,,,,,,,,,,,
,42,33400,33400,5,,,,,,,,,,,
,43,35100,35100,5,,,,,,,,,,,
,44,36700,36700,5,,,,,,,,,,,
,45,38500,38500,5,,,,,,,,,,,
,46,40200,40200,5,,,,,,,,,,,
,47,42000,42000,5,,,,,,,,,,,
,48,43800,43800,5,,,,,,,,,,,
,49,45600,45600,5,,,,,,,,,,,
,50,47500,47500,5,,,,,,,,,,,
,51,49500,49500,5,,,,,,,,,,,
,52,51500,51500,5,,,,,,,,,,,
,53,53500,53500,5,,,,,,,,,,,
,54,55600,55600,5,,,,,,,,,,,
,55,57700,57700,5,,,,,,,,,,,
,56,59800,59800,5,,,,,,,,,,,
,57,62000,62000,5,,,,,,,,,,,
,58,64200,64200,5,,,,,,,,,,,
,59,66400,66400,5,,,,,,,,,,,
,60,68700,68700,5,,,,,,,,,,,
,61,71100,71100,6,,,,,,,,,,,
,62,73400,73400,6,,,,,,,,,,,
,63,75900,75900,6,,,,,,,,,,,
,64,78300,78300,6,,,,,,,,,,,
,65,80800,80800,6,,,,,,,,,,,
,66,83300,83300,6,,,,,,,,,,,
,67,85900,85900,6,,,,,,,,,,,
,68,88500,88500,6,,,,,,,,,,,
,69,91100,91100,6,,,,,,,,,,,
,70,93800,93800,6,,,,,,,,,,,
,71,96600,96600,6,,,,,,,,,,,
,72,99300,99300,6,,,,,,,,,,,
,73,102100,102100,6,,,,,,,,,,,
,74,104900,104900,6,,,,,,,,,,,
,75,107800,107800,6,,,,,,,,,,,
,76,110700,110700,6,,,,,,,,,,,
,77,113700,113700,6,,,,,,,,,,,
,78,116700,116700,6,,,,,,,,,,,
,79,119800,119800,6,,,,,,,,,,,
,80,122800,122800,6,,,,,,,,,,,
,81,125900,125900,6,,,,,,,,,,,
,82,129100,129100,6,,,,,,,,,,,
,83,132300,132300,6,,,,,,,,,,,
,84,135500,135500,6,,,,,,,,,,,
,85,138800,138800,6,,,,,,,,,,,
,86,142100,142100,6,,,,,,,,,,,
,87,145500,145500,6,,,,,,,,,,,
,88,148800,148800,6,,,,,,,,,,,
,89,152300,152300,6,,,,,,,,,,,
,90,155700,155700,6,,,,,,,,,,,
,91,159200,159200,6,,,,,,,,,,,
,92,162800,162800,6,,,,,,,,,,,
,93,166400,166400,6,,,,,,,,,,,
,94,170000,170000,6,,,,,,,,,,,
,95,173700,173700,6,,,,,,,,,,,
,96,177400,177400,6,,,,,,,,,,,
,97,181100,181100,6,,,,,,,,,,,
,98,184900,184900,6,,,,,,,,,,,
,99,188700,188700,6,,,,,,,,,,,
,100,188700,188700,6,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
