交互检查规则,,,,
导出规则,,,,
分类,基本信息,,,
表头,变量名,统计类型,索引,
关键字标识,Y,,,
唯一标识,Y,,,
非空标识,Y,Y,,
检查规则,,,,
变量名称,name,statsType,,
变量类型,S,I,,
变量空间,cs,cs,,
,,,,
BEGIN,任务变量表,mission_variant_data,,
登录次数,loginOnNum,1,1,
成功寻宝次数,cgxbNum,1,3,
强化装备次数,qhzbNum,1,4,
制造装备次数,zzzbNum,1,5,
挖矿次数,wakuangNum,1,6,
织布次数,zhibuNum,1,7,
采集鲜花次数,xianhuaNum,1,8,
装备个数,equipNum,1,9,
法宝个数,fabaoNum,1,10,
阵法个数,zhenfaNum,1,11,
灵兽个数,lingshouNum,1,12,
门徒个数,mentuNum,1,13,
好友数量,hyNum,1,15,
复仇次数,fuchouNum,1,16,
封神坛挑战次数,fstTzNum,1,17,
充值元宝,chongzhiNum,1,18,
求缘次数,qiuyuanNum,1,19,
蟠桃宴次数,ptyNum,1,20,
小贼快跑次数,xzkpNum,1,21,
每日成功寻宝次数,dayCgxbNum,2,50,
每日强化装备次数,dayQhzbNum,2,51,
每日重铸装备次数,dayCzzbNum,2,52,
每日修炼次数,dayXlNum,2,53,
每日擂台挑战次数,dayFstTzNum,2,54,
每日抽卡次数,dayChoukaNum,2,55,
每日普通关卡挑战次数,dayPtgkNum,2,56,
每日精英关卡挑战次数,dayKngkNum,2,57,
每日宗师关卡挑战次数,dayZsgkNum,2,58,
每日蟠桃宴挑战次数,dayPtyNum,2,59,
每日小贼快跑挑战次数,dayXzkpNum,2,60,
每日炼妖塔挑战次数,dayLytNum,2,61,
每日探宝次数,dayTbNum,2,62,
每日昆仑斗法次数,dayKldfNum,2,63,
月卡今天返还次数,dayFhykNum,2,64,
季卡今天返还次数,dayFhjkNum,2,65,
每日制造装备次数,dayZzzbNum,2,66,
每日挖矿次数,dayWakuangNum,2,67,
织布挖矿次数,dayZhibuNum,2,68,
采集鲜花次数,dayXianhuaNum,2,69,
完成礼单任务,lidanNum,1,70,
完成礼单任务,dayLidanNum,1,71,
繁荣度,fanrongduNum,1,72,
清除皇宫杂物,qingchuNum,1,73,
面圣,mianshengNum,2,74,
分享(微信),fenxiangWxNum,2,75,
派系任务-铁线莲,pxTask01Num,3,76,
派系任务-满天星,pxTask02Num,3,77,
派系任务-茉莉花,pxTask03Num,3,78,
派系任务-百合花,pxTask04Num,3,79,
派系任务-蒲公英,pxTask05Num,3,80,
派系任务-薰衣草,pxTask06Num,3,81,
派系任务-虞美人,pxTask07Num,3,82,
派系任务-雏菊,pxTask08Num,3,83,
派系任务-红玫瑰,pxTask09Num,3,84,
派系任务-铜矿,pxTask10Num,3,85,
派系任务-锡矿,pxTask11Num,3,86,
派系任务-青铜,pxTask12Num,3,87,
派系任务-铁矿,pxTask13Num,3,88,
派系任务-锗石矿,pxTask14Num,3,89,
派系任务-银矿,pxTask15Num,3,90,
派系任务-金矿,pxTask16Num,3,91,
派系任务-钻石矿,pxTask17Num,3,92,
派系任务-棉布,pxTask18Num,3,93,
派系任务-麻布,pxTask19Num,3,94,
派系任务-娟纱,pxTask20Num,3,95,
派系任务-丝绸,pxTask21Num,3,96,
派系任务-呢绒,pxTask22Num,3,97,
派系任务-皮革,pxTask23Num,3,98,
派系任务-化纤,pxTask24Num,3,99,
派系任务-混纺,pxTask25Num,3,100,
派系任务时间,pxTaskTimeNum,3,101,
赠送鲜花,zsFlowerNum,1,102,
每日赠送鲜花,dayZsFlowerNum,2,103,
官品互动,dayGradeNum,2,104,
每日染料次数,dayRanliaoNum,2,105,
染料次数,ranliaoNum,1,106,
派系任务-明黄色,pxTask26Num,3,107,
派系任务-石青色,pxTask27Num,3,108,
派系任务-秋香色,pxTask28Num,3,109,
派系任务-海棠红,pxTask29Num,3,110,
派系任务-月白色,pxTask30Num,3,111,
派系任务-杏黄色,pxTask31Num,3,112,
派系任务-雪灰色,pxTask32Num,3,113,
派系任务-七彩色,pxTask33Num,3,114,
水晶,pxTask34Num,3,115,
琥珀,pxTask35Num,3,116,
金刚石,pxTask36Num,3,117,
陨石,pxTask37Num,3,118,
羊毛毯,pxTask38Num,3,119,
锦缎,pxTask39Num,3,120,
牛皮,pxTask40Num,3,121,
织锦,pxTask41Num,3,122,
邀请好友个数,yqhyNum,1,115,
到达30级的好友个数,djddhyNum,1,116,
官品互动,guanpinNum,2,117,
收到鲜花,sdFlowerNum,1,118,
每日收到鲜花,daySdFlowerNum,2,119,
分享(微博),fenxiangWbNum,2,120,
分享(空间),fenxiangKjNum,2,121,
武举,dayWujuNum,2,122,
每日秒经验,dayJiasuExpNum,2,123,
结拜互动,dayFqhdNum,1,124,
皇子数量,huangziNum,1,125,
今日累积充值1,day1RechargeNum,1,126,
今日累积充值2,day2RechargeNum,1,127,
今日累积充值3,day3RechargeNum,1,128,
今日累积充值4,day4RechargeNum,1,129,
今日累积充值5,day5RechargeNum,1,130,
今日累积充值6,day6RechargeNum,1,131,
今日累积充值7,day7RechargeNum,1,132,
主线-采集玫瑰花,zxCaijiFlowerNum,4,1,
加速花朵,zxJiasuFlowerNum,4,2,
砍树,zxKanshuNum,4,3,
除草,zxChucaoNum,4,4,
移动任意建筑,zxYidongjianzhuNum,4,5,
建造装饰物,zxJianzaoNum,4,6,
土壤到达,zxTurangNum,4,8,
繁荣度,zxFanrongduNum,4,9,
升官正九品,zxShengguanNum,4,10,
换衣服,zxHuanyifuNum,4,11,
穿装备,zxChuanZbNum,4,12,
升级技能,zxSkillMun,4,13,
上阵,zxShangzhenMun,4,14,
战斗力达到,zxZlNum,4,15,
礼单任务,zxLidanTaskNum,4,17,
加好友,zxHaoyouNum,4,18,
聊天一次,zxLiaotianNum,4,19,
好友请安,zxQinganNum,4,20,
花房,zxHuafangNum,4,21,
用化肥加速,zxHuafeiNum,4,22,
合成情有独钟,zxHechengNum,4,23,
赠送情有独钟,zxZengsongNum,4,24,
引导比武,zxBiwuNum,4,26,
造棉布,zxMianbuNum,4,27,
造矿,zxKuangNum,4,28,
造装备,zxEquipNum,4,29,
装备分解,zxFenjieNum,4,30,
兑换图纸,zxDuihuanNum,4,31,
保和殿,zxBaohedianNum,4,32,
御花园,zxYuhuayuanNum,4,33,
擂台,zxLeitaiNum,4,34,
织布机,zxZhibujiNum,4,35,
矿洞,zxKuangdongNum,4,36,
造办处,zxZaobanchuNum,4,37,
石狮子,zxShishiziNum,4,38,
金元宝,zxJinyuanbaoNum,4,39,
书案,zxShuanNum,4,40,
加速经验,zxJiasuExpNum,4,41,
加速金元宝,zxJiasuMoneyNum,4,42,
生产银两,zxYinliangNum,4,43,
生产经验,zxJinyanNum,4,44,
刷宝,zxSaodangNum,4,45,
购买服装店饰品,zxBuyShiPin,4,46,
穿戴饰品,zxChuanShiPin,4,47,
拜访,zxBaifangNum,4,48,
太液池,zxTaiyechi,4,49,
钓鱼,zxDiaoyu,4,50,
造鱼钩,zxZaoyugou,4,51,
收获木棉,zxShoumumian,4,52,
收铜矿,zxShoutongkuang,4,53,
招募仆从到6个,zxZhaomu,4,54,
送花一次,zxZsFlowerNum,4,55,
收获10块棉布,zxShoumianbu,4,56,
收获10瓶明黄色,zxShouminghuangse,4,57,
合成1枚5级宝石,zxHecheng,4,58,
镶嵌宝石1次,zxXiangqian,4,59,
熔炼1枚高级宝石,zxRonglian,4,60,
炸石头5块,zxZhashitouNum,4,61,
供养连理枝5次,zxLianlizhiNum,4,62,
升级3个花盆,zxShengjiHp,4,63,
进贡2次,zxJingongNum,4,64,
做5单礼单任务,zxlidanNum,4,65,
做5单帮派任务,zxPaixiNum,4,66,
结婚,zxJiehunNum,4,67,
探宝1次,zxTanbaoNum,4,68,
获取探皇子箱,zxHuoquTaobaoNum,4,69,
砍树5棵,zxKanshu2Num,4,70,
除草5块,zxChucao2Num,4,71,
合成1朵桃之妖妖,zxHecheng2Num,4,72,
赠送好友桃之妖妖,zxZengsong2Num,4,73,
满天星,zxMantianxianNum,4,74,
造装备缎带,zxEquip1Num,4,75,
制衣,zxZhuangbanNum,4,76,
合成一朵天真之吻,zxHecheng3Num,4,77,
拜访,zxBaifang2Num,4,78,
升级技能,zxSkill1Num,4,79,
升级技能,zxSkill2Num,4,80,
送花天真之吻,zxZengsong3Num,4,81,
建造一个造渔具的工作台,zxYutangNum,4,82,
探宝9次,zxTanbao2Num,4,83,
偷花,thFlowerNum,2,84,
每日偷花,dayThFlowerNum,1,85,
建造尚衣局,zxShangyijuNum,4,86,
