交互检查规则,,,,,,,,,,,
导出规则,,,,,,,,,,,
表头,特效编号,建筑编号,特效名,播放速度,特效触发,是否显示第一帧,动画循环,播完后是否删除,最后一帧重复播放的次数,特效偏移,特效缩放比例
关键字标识,Y,,,,,,,,,,
唯一标识,Y,,,,,,,,,,
非空标识,Y,,,,,,,,,Y,
检查规则,,,,,,,,,,,
变量名称,id,buildingId,effectName,speed,group,show,loop,remove,lastFrameRepeatConut,position,scale
变量类型,I,I,S,F,I,B,B,B,I,E,I
变量空间,c,c,c,c,c,c,c,c,c,c,c
,,,,,,,,,,,
BEGIN,建筑特效表,building_effect_data,,,,,,,,,
主城,1000,1000,1001_1,,2,1,0,0,0,"(0,0,)",1
鲜花地,1001,1001,1001_2,,2,1,0,0,0,"(0,0,)",1
摇钱树,1002,1002,1007_1,,2,1,0,1,0,"(0,0,)",1
采石场,1003,1004,1009_1,,1,1,1,0,0,"(0,0,)",1
伐木场,1004,1004,1009_2,,2,1,0,0,6,"(0,0,)",1
主界面,1005,1005,1009_3,,1,1,1,0,0,"(0,0,)",1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
