交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,建筑编号编号,建筑名,等级,建造需要角色等级,建筑级别,是否可拆除,点击音效,人物是否可以路过,是否属于地板,占地面积,粒子编号,购买价格,价格类型,繁荣度,建筑类型,建筑图片,建筑最大数量,是否可出售,是否可改朝向,是否可建造,是否可移动,建筑点击是否会跳动,建筑描述,建筑下功能,生产类型,编辑器动画,子序列,新手ID
关键字标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
非空标识,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变量名称,id,name,lv,needLv,jianzhuLv,chaichu,music,isway,isFloor,size,particle,needMoney,needType,prosperity,type,img,maxCount,delete,canFlip,canBuild,canMoveBuild,jumpBuild,buildDesc,buildFuncitonId,typesOfManufacturing,hasAction,order,xsId
变量类型,I,S,I,I,S,I,I,B,B,E,E,I,I,I,I,S,I,B,B,B,B,B,S,E,I,B,I,I
变量空间,cs,cs,cs,cs,c,cs,cs,c,c,cs,c,cs,cs,cs,cs,c,cs,cs,cs,cs,cs,c,c,cs,cs,c,c,cs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,建筑表,building_data,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000,主城,1,1,1,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1000,1,0,1,1,1,0,可入宫面见皇上。,"(121,203,)",,,3,
,1001,主城,1,1,2,0,1055,0,,"(4,4,)","(1000,)",0,1,1000,1,1001,1,0,1,1,1,0,可入宫面见皇上。,"(121,203,)",,,3,
,1002,主城,1,1,3,0,1055,0,,"(4,4,)","(1000,)",0,1,1200,1,1002,1,0,1,1,1,0,可入宫面见皇上。,"(121,203,)",,,3,
,1003,主城,1,1,4,0,1055,0,,"(4,4,)","(1000,)",0,1,1400,1,1003,1,0,1,1,1,0,可入宫面见皇上。,"(121,203,)",,,3,
,1004,主城,1,1,5,0,1055,0,,"(4,4,)","(1000,)",0,1,1600,1,1004,1,0,1,1,1,0,可入宫面见皇上。,"(121,203,)",,,3,
,1010,鲜花地,1,1,1,0,1055,1,1,"(1,1,)","(1000,)",0,1,50,1,1010,1,0,1,1,1,0,普通的土壤，可以用于种植鲜花。,"(121,203,)",1,,1,
,1011,鲜花地,1,1,2,0,1055,1,1,"(1,1,)","(1000,)",0,1,100,1,1011,1,0,1,1,1,0,普通的土壤，可以用于种植鲜花。,"(121,203,)",1,,1,
,1012,鲜花地,1,1,3,0,1055,1,1,"(1,1,)","(1000,)",0,1,150,1,1012,1,0,1,1,1,0,普通的土壤，可以用于种植鲜花。,"(121,203,)",1,,1,
,1013,鲜花地,1,1,4,0,1055,1,1,"(1,1,)","(1000,)",0,1,200,1,1013,1,0,1,1,1,0,普通的土壤，可以用于种植鲜花。,"(121,203,)",1,,1,
,1014,鲜花地,1,1,5,0,1055,1,1,"(1,1,)","(1000,)",0,1,250,1,1014,1,0,1,1,1,0,普通的土壤，可以用于种植鲜花。,"(121,203,)",1,,1,
,1020,摇钱树,1,1,1,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1020,1,0,1,1,1,0,可用于升官。,"(121,203,)",1,,13,515
,1021,摇钱树,1,1,2,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1021,1,0,1,1,1,0,可用于升官。,"(121,203,)",1,,13,515
,1022,摇钱树,1,1,3,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1022,1,0,1,1,1,0,可用于升官。,"(121,203,)",1,,13,515
,1023,摇钱树,1,1,4,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1023,1,0,1,1,1,0,可用于升官。,"(121,203,)",1,,13,515
,1024,摇钱树,1,1,5,0,1055,0,,"(4,4,)","(1000,)",0,1,800,1,1024,1,0,1,1,1,0,可用于升官。,"(121,203,)",1,,13,515
,1030,采石场,1,1,1,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1030,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1031,采石场,1,1,2,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1031,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1032,采石场,1,1,3,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1032,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1033,采石场,1,1,4,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1033,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1034,采石场,1,1,5,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1034,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1040,伐木场,1,1,1,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1040,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1041,伐木场,1,1,2,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1041,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1042,伐木场,1,1,3,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1042,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1043,伐木场,1,1,4,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1043,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1044,伐木场,1,1,5,0,1055,0,,"(2,2,)","(1000,)",0,1,200,1,1044,1,0,1,1,1,0,挖掘矿石，打造绝世宝石。,"(121,203,)",2,,8,
,1050,主界面,1,1,1,0,1055,0,,,,0,,0,,1050,,,0,,,0,,,,,,
