交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,"charMap=displayname,name",,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,怪物编号,怪物名称,等级类型,怪物等级,怪物星级,怪物类型,怪物品质,技能ID,技能等级,原型编号,模型编号,怪物职业,放大比例,攻击参数,内力参数,防御参数,法防参数,速度参数,生命参数,气力参数,命中参数,闪避参数,暴击参数,坚韧参数,暴伤参数,反击参数,,,,
关键字标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唯一标识,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非空标识,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
检查规则,,,"#int(1,3)",,,,,,,"#eref(怪物原型表,id)",,,,,,,,,,,,,,,,,,,,
变量名称,id,name,lvKind,lv,star,kind,quality,fbId,fbLv,protId,iconId,job,enlargeRatio,atkPat,powerPat,defPat,dpowerPat,spdPat,hpPat,mpPat,hitPat,dgePat,criPat,dcriPat,focusPat,datkPat,,,,
变量类型,I,S,I,I,I,I,I,E,E,I,I,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,
变量空间,cs,cs,s,cs,c,cs,c,cs,cs,cs,c,cs,c,s,s,s,s,s,s,s,s,s,s,s,s,s,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN,怪物数据表,monster_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100000,王府总管,1,4,1,1,4,"(70000,70003,)","(1,1,)",5000,10025,1,1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,,,,
,100001,守门侍卫,1,4,1,1,4,"(70000,70001,)","(1,1,)",5001,10031,1,1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,,,,
,100002,守门侍卫,1,4,1,1,4,"(70000,70002,)","(1,1,)",5002,10030,1,1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,,,,
,100003,守门侍卫,1,4,1,1,4,"(70000,70001,)","(1,1,)",5003,10031,1,1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,,,,
,100004,如花,1,4,1,1,4,"(70000,70003,)","(1,1,)",1026,10026,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100005,王府丫鬟,1,4,1,1,4,"(70000,70001,)","(1,1,)",1034,10034,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100006,如花,1,4,1,2,4,"(70000,70001,)","(1,1,)",1026,10026,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100007,王府丫鬟,1,4,1,1,4,"(70000,70002,)","(1,1,)",1035,10035,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100008,大福晋,1,4,1,1,4,"(70000,70001,)","(1,1,)",1002,10002,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100009,王府嬷嬷,1,4,1,1,4,"(70000,70002,)","(1,1,)",1032,10032,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100010,大福晋,1,4,1,2,4,"(70000,70003,)","(1,1,)",1002,10002,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100011,王府丫鬟,1,4,1,1,4,"(70000,70004,)","(1,1,)",1034,10034,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100012,王府丫鬟,1,5,1,1,4,,,1035,10035,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100013,王府丫鬟,1,5,1,1,4,,,1034,10034,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100014,王府嬷嬷,1,5,1,2,4,,,1032,10032,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,100015,王府嬷嬷,1,5,1,1,4,,,1033,10033,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
2,101000,大福晋,1,7,1,1,4,,,1002,10002,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101001,王府嬷嬷,1,7,1,1,4,,,1032,10032,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101002,王府嬷嬷,1,7,1,1,4,,,1033,10033,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101003,大福晋,1,8,1,2,4,,,1040,10040,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101004,高佳晞月,1,8,1,1,4,,,1005,10005,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101005,嬷嬷,1,8,1,1,4,,,1039,10039,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101006,大福晋,1,8,1,1,4,,,1040,10040,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101007,高佳晞月,1,8,1,1,4,,,1005,10005,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101008,王府丫鬟,1,8,1,1,4,,,1034,10034,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101009,高佳晞月,1,8,1,1,4,,,1005,10005,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101010,王府嬷嬷,1,8,1,1,4,,,1032,10032,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101011,王府嬷嬷,1,8,1,1,4,,,1033,10033,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
,101012,苏绿筠,1,8,1,1,4,,,1019,10019,1,1,0.3,0.5,0.5,0.5,0.8,0.65,0.8,1,1,1,1,1,1,,,,
