交互检查规则,,,,,,,,
导出规则,,,,,,,,
表头,特效编号,粒子特效文件编号,挂节点坐标,播放类型,状态,,,
关键字标识,Y,,,,,,,
唯一标识,Y,,,,,,,
非空标识,Y,,,,,,,
检查规则,,,,,,,,
变量名称,id,particleId,position,type,state,,,
变量类型,I,I,E,I,I,,,
变量空间,c,c,c,c,c,,,
,,,,,,,,
BEGIN,粒子表,build_particle_data,,,,,,
,1000,10000,"(100,100,)",0,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
