交互检查规则,,,,,,,
导出规则,,,,,,,
分类,,,,,,,
表头,id,等级,限制等级,升级需要消耗道具id,升级需要道具数量,属性id,增加属性
关键字标识,Y,,,,,,
唯一标识,Y,,,,,,
非空标识,Y,,,,,,
检查规则,,,,,,,
变量名称,id,lv,lvlimit,itemId,itemNum,propId,propValue
变量类型,I,I,I,I,I,E,E
变量空间,cs,cs,cs,cs,cs,cs,cs
,,,,,,,
BEGIN,阵眼表,zhenyan_data,,,,,
普通阵,1000,1,50,20309,1,"(20021,24020,25020,10021,10022,20022,)","(80,0,0,0,0,0,)"
,1001,2,50,20309,2,"(20021,24020,25020,10021,10022,20022,)","(80,0,0,0,0,0,)"
,1002,3,50,20309,3,"(20021,24020,25020,10021,10022,20022,)","(80,0,0,0,0,0,)"
,1003,4,50,20309,4,"(20021,24020,25020,10021,10022,20022,)","(80,0,0,0,0,0,)"
,1004,5,50,20309,5,"(20021,24020,25020,10021,10022,20022,)","(80,0,0,0,0,0,)"
,1005,6,50,20309,8,"(20021,24020,25020,10021,10022,20022,)","(80,14,6,0,0,0,)"
,1006,7,50,20309,11,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0,0,0,)"
,1007,8,50,20309,14,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0,0,0,)"
,1008,9,50,20309,17,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0,0,0,)"
,1009,10,50,20309,20,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0,0,0,)"
,1010,11,60,20309,27,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0,)"
,1011,12,60,20309,34,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0,)"
,1012,13,60,20309,41,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0,)"
,1013,14,60,20309,48,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0,)"
,1014,15,60,20309,55,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0,)"
,1015,16,60,20309,65,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1016,17,60,20309,75,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1017,18,60,20309,85,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1018,19,60,20309,95,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1019,20,60,20309,105,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1020,21,70,20309,115,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1021,22,70,20309,125,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1022,23,70,20309,135,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1023,24,70,20309,145,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1024,25,70,20309,155,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1025,26,80,20309,165,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1026,27,80,20309,175,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1027,28,80,20309,185,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1028,29,80,20309,195,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1029,30,80,20309,205,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1030,31,90,20309,215,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1031,32,90,20309,225,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1032,33,90,20309,235,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1033,34,90,20309,245,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1034,35,90,20309,255,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1035,36,100,20309,265,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1036,37,100,20309,275,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1037,38,100,20309,285,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1038,39,100,20309,295,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1039,40,100,20309,305,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1040,41,110,20309,315,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1041,42,110,20309,325,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1042,43,110,20309,335,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1043,44,110,20309,345,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1044,45,110,20309,355,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1045,46,120,20309,365,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1046,47,120,20309,375,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1047,48,120,20309,385,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1048,49,120,20309,395,"(20021,24020,25020,10021,10022,20022,)","(80,24,16,0.005,0.005,0.005,)"
,1049,50,120,20309,405,"(20021,24020,25020,10021,10022,20022,)","(80,34,26,0.005,0.005,0.005,)"
